2025-10-24 08:09:04 | INFO     | __main__                       | Téléchargement [17/38]: bsv_gc_n_21_du_26_03_2024.pdf
2025-10-24 08:09:16 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4357.0 KB): bsv_gc_n_21_du_26_03_2024.pdf
2025-10-24 08:09:17 | INFO     | __main__                       | Téléchargement [18/38]: bsv_gc_n_20_du_19_03_2024.pdf
2025-10-24 08:09:19 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3704.3 KB): bsv_gc_n_20_du_19_03_2024.pdf
2025-10-24 08:09:20 | INFO     | __main__                       | Téléchargement [19/38]: bsv_gc_n_19_du_19_03_2024.pdf
2025-10-24 08:09:26 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3898.0 KB): bsv_gc_n_19_du_19_03_2024.pdf
2025-10-24 08:09:27 | INFO     | __main__                       | Téléchargement [20/38]: bsv_gc_n_18_du_05_03_2024.pdf
2025-10-24 08:09:31 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2217.5 KB): bsv_gc_n_18_du_05_03_2024.pdf
2025-10-24 08:09:32 | INFO     | __main__                       | Téléchargement [21/38]: bsv_gc_n_17_du_27_02_2024.pdf
2025-10-24 08:09:35 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2022.6 KB): bsv_gc_n_17_du_27_02_2024.pdf
2025-10-24 08:09:36 | INFO     | __main__                       | Téléchargement [22/38]: bsv_gc_n_16_du_20_02_2024.pdf
2025-10-24 08:09:38 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1943.6 KB): bsv_gc_n_16_du_20_02_2024.pdf
2025-10-24 08:09:39 | INFO     | __main__                       | Téléchargement [23/38]: bsv_gc_n_15_du_13_02_2024.pdf
2025-10-24 08:09:41 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2576.2 KB): bsv_gc_n_15_du_13_02_2024.pdf
2025-10-24 08:09:42 | INFO     | __main__                       | Téléchargement [24/38]: bsv_gc_n_14_du_06_02_2024.pdf
2025-10-24 08:09:45 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2692.1 KB): bsv_gc_n_14_du_06_02_2024.pdf
2025-10-24 08:09:46 | INFO     | __main__                       | Téléchargement [25/38]: bsv_gc_note_campagnols_des_champs_du_21_11_23.pdf
2025-10-24 08:09:51 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5534.8 KB): bsv_gc_note_campagnols_des_champs_du_21_11_23.pdf
2025-10-24 08:09:52 | INFO     | __main__                       | Téléchargement [26/38]: bsv_gc_n_13_du_14_11_23.pdf
2025-10-24 08:09:56 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2401.5 KB): bsv_gc_n_13_du_14_11_23.pdf
2025-10-24 08:09:57 | INFO     | __main__                       | Téléchargement [27/38]: bsv_gc_n_12_du_07_11_23.pdf
2025-10-24 08:10:02 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3332.4 KB): bsv_gc_n_12_du_07_11_23.pdf
2025-10-24 08:10:03 | INFO     | __main__                       | Téléchargement [28/38]: bsv_gc_n_11_du_31_10_23.pdf
2025-10-24 08:10:05 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3384.5 KB): bsv_gc_n_11_du_31_10_23.pdf
2025-10-24 08:10:06 | INFO     | __main__                       | Téléchargement [29/38]: bsv_gc_n_10_du_24_10_23.pdf
2025-10-24 08:10:08 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3204.8 KB): bsv_gc_n_10_du_24_10_23.pdf
2025-10-24 08:10:09 | INFO     | __main__                       | Téléchargement [30/38]: bsv_gc_n_9_du_17_10_23.pdf
2025-10-24 08:10:12 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3619.9 KB): bsv_gc_n_9_du_17_10_23.pdf
2025-10-24 08:10:13 | INFO     | __main__                       | Téléchargement [31/38]: bsv_gc_n_8_du_10_10_23.pdf
2025-10-24 08:10:14 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1089.0 KB): bsv_gc_n_8_du_10_10_23.pdf
2025-10-24 08:10:15 | INFO     | __main__                       | Téléchargement [32/38]: bsv_gc_n_7_du_03_10_23.pdf
2025-10-24 08:10:17 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1761.0 KB): bsv_gc_n_7_du_03_10_23.pdf
2025-10-24 08:10:18 | INFO     | __main__                       | Téléchargement [33/38]: bsv_gc_n_6_du_26_09_2023.pdf
2025-10-24 08:10:24 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1609.7 KB): bsv_gc_n_6_du_26_09_2023.pdf
2025-10-24 08:10:25 | INFO     | __main__                       | Téléchargement [34/38]: bsv_gc_n_5_du_19_09_23.pdf
2025-10-24 08:10:28 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1962.7 KB): bsv_gc_n_5_du_19_09_23.pdf
2025-10-24 08:10:29 | INFO     | __main__                       | Téléchargement [35/38]: bsv_gc_n_4_du_12_09_23.pdf
2025-10-24 08:10:31 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3205.0 KB): bsv_gc_n_4_du_12_09_23.pdf
2025-10-24 08:10:32 | INFO     | __main__                       | Téléchargement [36/38]: bsv_gc_n_3_du_05_09_23.pdf
2025-10-24 08:10:34 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2457.7 KB): bsv_gc_n_3_du_05_09_23.pdf
2025-10-24 08:10:35 | INFO     | __main__                       | Téléchargement [37/38]: bsv_gc_n_2_du_29_08_23.pdf
2025-10-24 08:10:39 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2875.5 KB): bsv_gc_n_2_du_29_08_23.pdf
2025-10-24 08:10:40 | INFO     | __main__                       | Téléchargement [38/38]: bsv_gc_n_1_du_22_08_23.pdf
2025-10-24 08:10:45 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2206.4 KB): bsv_gc_n_1_du_22_08_23.pdf
2025-10-24 08:10:46 | INFO     | __main__                       | Téléchargement terminé pour l'année 2023: 38/38 PDF téléchargés
2025-10-24 08:10:46 | INFO     | __main__                       | ================================================================================
2025-10-24 08:10:46 | INFO     | __main__                       | TRAITEMENT DE L'ANNÉE 2022 (3/3)
2025-10-24 08:10:46 | INFO     | __main__                       | ================================================================================
2025-10-24 08:10:46 | INFO     | __main__                       | URL de l'année: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/bulletins-de-sante-du-vegetal-grandes-cultures-bourgogne-franche-comte-2022-a3122.html
2025-10-24 08:10:46 | INFO     | __main__                       | Récupération de la page pour l'année 2022...
2025-10-24 08:10:47 | INFO     | __main__                       | Page récupérée avec succès: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/bulletins-de-sante-du-vegetal-grandes-cultures-bourgogne-franche-comte-2022-a3122.html
2025-10-24 08:10:47 | INFO     | __main__                       | Page de l'année 2022 récupérée avec succès
2025-10-24 08:10:47 | INFO     | __main__                       | Collecte des liens PDF pour l'année 2022...
2025-10-24 08:10:47 | INFO     | __main__                       | Nombre de PDF trouvés pour l'année 2022: 35
2025-10-24 08:10:47 | INFO     | __main__                       | Répertoire créé/vérifié: /home/ngoupaye/projets-scolaires/plant_health_NLP_analysis/data/raw/bourgogne_franche_comte/2022
2025-10-24 08:10:47 | INFO     | __main__                       | Début du téléchargement de 35 PDF pour l'année 2022...
2025-10-24 08:10:47 | INFO     | __main__                       | Téléchargement [1/35]: bilan_bsv_gc_2022_2023.pdf
2025-10-24 08:10:50 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4982.4 KB): bilan_bsv_gc_2022_2023.pdf
2025-10-24 08:10:51 | INFO     | __main__                       | Téléchargement [2/35]: bsv_gc_n_33_du_11_07_23.pdf
2025-10-24 08:10:53 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2421.7 KB): bsv_gc_n_33_du_11_07_23.pdf
2025-10-24 08:10:54 | INFO     | __main__                       | Téléchargement [3/35]: bsv_gc_n_32_du_04_07_23.pdf
